Sample,Date,Site,Year,Season,Replicate,Treatment,Site-Temperature,Mean-Temperature,Max-Temperature,Min-Temperature,picea,Visited_picea,scabrinodis,ruginodis,Myrmica,Visited_Myrmica,Lost-Sample,Eaten-Sample
BK-2017-1-1-Control,29/06/2017,BK,2017,1,1,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-2-Control,29/06/2017,BK,2017,1,2,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-3-Control,29/06/2017,BK,2017,1,3,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-4-Control,29/06/2017,BK,2017,1,4,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-5-Control,29/06/2017,BK,2017,1,5,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-6-Control,29/06/2017,BK,2017,1,6,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-7-Control,29/06/2017,BK,2017,1,7,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-8-Control,29/06/2017,BK,2017,1,8,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-9-Control,29/06/2017,BK,2017,1,9,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-10-Control,29/06/2017,BK,2017,1,10,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-11-Control,29/06/2017,BK,2017,1,11,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-12-Control,29/06/2017,BK,2017,1,12,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-13-Control,29/06/2017,BK,2017,1,13,Control,24,18.1,24.9,11.0,1,1,0,0,0,0,0,0
BK-2017-1-14-Control,29/06/2017,BK,2017,1,14,Control,24,18.1,24.9,11.0,1,1,0,0,0,0,0,0
BK-2017-1-15-Control,29/06/2017,BK,2017,1,15,Control,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
Jan-2017-1-1-Protein,28/06/2017,Jan,2017,1,1,Protein,23,17.7,24.3,10.9,5,1,0,0,0,0,0,1
Jan-2017-1-2-Protein,28/06/2017,Jan,2017,1,2,Protein,23,17.7,24.3,10.9,5,1,0,0,0,0,0,1
Jan-2017-1-3-Protein,28/06/2017,Jan,2017,1,3,Protein,23,17.7,24.3,10.9,5,1,0,0,0,0,0,1
Jan-2017-1-4-Protein,28/06/2017,Jan,2017,1,4,Protein,23,17.7,24.3,10.9,4,1,0,0,0,0,0,0
Jan-2017-1-5-Protein,28/06/2017,Jan,2017,1,5,Protein,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-6-Protein,28/06/2017,Jan,2017,1,6,Protein,23,17.7,24.3,10.9,5,1,0,0,0,0,0,0
Jan-2017-1-7-Protein,28/06/2017,Jan,2017,1,7,Protein,23,17.7,24.3,10.9,10,1,0,0,0,0,0,0
Jan-2017-1-8-Protein,28/06/2017,Jan,2017,1,8,Protein,23,17.7,24.3,10.9,4,1,0,0,0,0,0,0
Jan-2017-1-9-Protein,28/06/2017,Jan,2017,1,9,Protein,23,17.7,24.3,10.9,2,1,1,0,1,1,0,0
Jan-2017-1-10-Protein,28/06/2017,Jan,2017,1,10,Protein,23,17.7,24.3,10.9,2,1,1,0,1,1,0,0
